Elements;rand;auf;ab;50;150;3;rand
11;0;0;0;;;;
61;0;0;0;;;;
111;0;0;0;;;;
161;0;0;0;;;;
211;0;0;0;;;;
261;0;0;0;;;;
311;1;1;1;;;;
361;1;1;0;;;;
411;1;1;1;;;;
461;1;1;1;;;;
511;1;1;1;;;;
561;1;1;1;;;;
611;1;1;1;;;;
661;1;1;2;;;;
711;1;2;2;;;;
761;2;2;2;;;;
811;2;2;2;;;;
861;2;2;2;;;;
911;2;2;2;;;;
961;2;2;2;;;;
1011;2;3;2;;;;
1061;3;3;3;;;;
1111;3;3;3;;;;
1161;3;3;3;;;;
1211;4;3;3;;;;
1261;4;3;3;;;;
1311;3;4;4;;;;
1361;4;4;4;;;;
1411;4;4;4;;;;
1461;4;4;4;;;;
1511;5;4;4;;;;
1561;6;4;5;;;;
1611;6;5;5;;;;
1661;5;5;5;;;;
1711;5;5;5;;;;
1761;6;5;6;;;;
1811;6;6;5;;;;
1861;6;6;6;;;;
1911;6;6;7;;;;
1961;6;6;6;;;;
2011;7;7;7;;;;
2061;7;7;7;;;;
2111;7;7;7;;;;
2161;7;7;7;;;;
2211;8;8;8;;;;
2261;9;8;8;;;;
2311;9;8;9;;;;
2361;9;8;9;;;;
2411;9;9;9;;;;
2461;9;9;9;;;;
2511;10;9;9;;;;
2561;10;10;9;;;;
2611;11;10;10;;;;
2661;11;10;10;;;;
2711;11;10;12;;;;
2761;11;11;11;;;;
2811;11;11;11;;;;
2861;12;11;12;;;;
2911;12;12;12;;;;
2961;12;12;13;;;;
3011;13;12;13;;;;
3061;13;12;13;;;;
3111;13;13;13;;;;
3161;14;13;13;;;;
3211;14;14;14;;;;
3261;14;14;14;;;;
3311;15;14;14;;;;
3361;15;15;15;;;;
3411;15;16;15;;;;
3461;17;15;15;;;;
3511;16;16;15;;;;
3561;17;16;16;;;;
3611;17;16;16;;;;
3661;17;17;16;;;;
3711;18;17;17;;;;
3761;18;18;17;;;;
3811;18;18;18;;;;
3861;19;18;18;;;;
3911;19;19;19;;;;
3961;20;19;19;;;;
4011;20;20;20;;;;
4061;21;20;20;;;;
4111;21;21;20;;;;
4161;21;21;21;;;;
4211;21;21;21;;;;
4261;22;21;22;;;;
4311;22;22;22;;;;
4361;22;23;23;;;;
4411;23;22;23;;;;
4461;23;23;23;;;;
4511;24;24;25;;;;
4561;25;24;24;;;;
4611;25;24;24;;;;
4661;26;25;25;;;;
4711;27;25;26;;;;
4761;26;26;25;;;;
4811;27;26;26;;;;
4861;27;27;27;;;;
4911;29;27;27;;;;
4961;28;27;27;;;;
5011;28;28;28;;;;
5061;29;28;28;;;;
5111;29;28;29;;;;
5161;30;30;29;;;;
5211;32;30;30;;;;
5261;31;30;30;;;;
5311;31;31;31;;;;
5361;32;31;31;;;;
5411;32;31;32;;;;
5461;33;32;32;;;;
5511;34;33;33;;;;
5561;34;33;33;;;;
5611;34;34;34;;;;
5661;35;35;34;;;;
5711;35;36;35;;;;
5761;37;35;36;;;;
5811;37;36;35;;;;
5861;37;36;37;;;;
5911;38;37;37;;;;
5961;38;37;38;;;;
6011;39;38;38;;;;
6061;40;38;39;;;;
6111;40;39;39;;;;
6161;40;39;39;;;;
6211;41;40;40;;;;
6261;42;40;41;;;;
6311;43;41;41;;;;
6361;43;41;42;;;;
6411;43;42;42;;;;
6461;43;42;43;;;;
6511;45;43;44;;;;
6561;46;44;44;;;;
6611;47;45;45;;;;
6661;46;45;45;;;;
6711;47;46;46;;;;
6761;47;46;46;;;;
6811;47;47;50;;;;
6861;48;47;47;;;;
6911;50;48;48;;;;
6961;50;48;48;;;;
7011;51;49;49;;;;
7061;50;49;50;;;;
7111;52;50;51;;;;
7161;53;51;51;;;;
7211;53;51;51;;;;
7261;54;52;52;;;;
7311;55;53;53;;;;
7361;56;53;53;;;;
7411;56;53;54;;;;
7461;57;54;54;;;;
